Marca temporal,¿Qué edad tienes? (escribe tu respuesta en números),¿Cuál es tu sexo biológico?,Estado civil,"¿A qué estado de la República Mexicana perteneces? (sin abreviaturas) Ejemplo: Estado de México, Oaxaca, Ciudad de México, Puebla",1. El amor para mi es:,2. La primera palabra en la que pienso cuando escucho a alguien hablar sobre el amor es: ,3.. Pienso que el amor,4. Selecciona una de las opciones con la que estés de acuerdo,5. ¿Cuál crees que debería ser una de las principales características del amor?,6. Creo que el amor,7. Los componentes del amor son,8. Selecciona los tipos de amor conozcas,9. Creo que los seres humanos amamos porque,10. Un amor equilibrado debería ser o tener,"11. En cuanto al amor de pareja, prefiero que mi tipo de pareja sea:",12. Cuando amo yo suelo ser ,"13. El amor filial es igual, es decir, padre y madre aman de la misma forma ",14. El amor lo puede todo,15. Todo se perdona por amor,16. Existen las medias naranjas o almas gemelas,17. El amor no es igual a una relación de pareja
26/10/2021 12:08:41,22,Hombre,Soltero (a),Veracruz,"Algo incondicional, algo muy valioso y muy hermoso, un sentimiento puro","Parejas, sentimientos, felicidad","Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio significa admirar mis cualidades y mis logros,"Respeto, honestidad y la confianza",Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Manic o maníaco, Amor propio, Amor platónico","Es algo que nos une a todos, independientemente del tipo de amor que sea
El ser humano está diseñado para ser social","Un equilibrio en tanto a dar como recibir, sin dejar que una persona sea quien haga todo en la relación","Comprensible, cariñosa, amable",Muy romántico y cariñoso,3,4,1,4,4
26/10/2021 12:09:32,55,Mujer,Divorciado (a),Veracruz,"Es el sentimiento mas sublime del ser humano, que lo mueve todo en beneficio de los seres queridos, es la energía capaz de traspasar el tiempo y la distancia. ",Incondiciobal,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Sincero,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico",Porque nos une a los seres que nos rodean. ,Ser respetuoso y cuidado mutuisincera,Sincera y feliz consigomismo,Incondicional y sincera,3,3,2,5,4
26/10/2021 13:33:04,20,Mujer,Soltero (a),Estado de México ,Cualquier relación significativa que tengas con algo,Relaciones,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Respeto ,Es una decisión basada en compromiso y tolerancia,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fatuo, Amor fraternal, Amor maternal, Amor propio, Amor platónico",Tenemos emociones. De no tenerlas no amariamos ,Ambos deben respetarse mutuamente y que sean importantes el uno para el otro,Igual o parecida a mi. De otra manera puede que me llamen la atención pero no será una relación duradera ,Desconfiada. No creo que una persona pueda amarme de vuelta ,2,2,2,2,5
27/10/2021 10:40:52,17,Hombre,Soltero (a),Veracruz,Un sentimiento que nace por un respeto y una cariño hacia ciertas personas ,Una relación de pareja ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,El respeto y el cariño,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Pasión, compromiso e intimidad","Amor romántico, Amor consumado, Amor fraternal, Eros o amor erótico, Storge o amistoso, Amor maternal, Amor propio, Amor platónico",Por qué es lo que nos hace como personas ,"Cariño, respeto y honestidad",Sincera y Cariñosa,"Muy romántico, atento y sincero",5,5,1,5,3
28/10/2021 22:18:35,20,Hombre,Soltero (a),Ciudad de México,"Algo con lo que no se nace, si no se obtiene y transmite a través del mundo, de igual forma es un equilibrio de sufrimiento y disfrute    ",Mi perro ,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio significa admirar mis cualidades y mis logros,Respeto,Es la consecuencia de procesos químicos y físicos de mi cuerpo con el fin de la reproducción sexual,"Pasión, compromiso e intimidad","Amor romántico, Ágape, Amor fraternal, Eros o amor erótico, Amor compañero o sociable, Amor maternal, Amor propio","Es inevitable amar, pues de todos aprendemos amar, de cualquier modo","Respeto, confianza, lealtad y honestidad","Respetuosa, justa, humilde, honesta, que tenga confianza en mi ",Extraño,5,1,1,1,3
29/10/2021 12:49:13,17,Mujer,Soltero (a),Veracruz,"Un sentimiento o idea que nos pone en un estado relajado o de emoción, que ",Max x'D,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,El deseo,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Deseo, cariño y un propósito en común","Amor romántico, Amor fraternal, Amor maternal, Amor propio, Amor platónico",Es algo natural e importante en la vida,"Amor sano, salud mental, deseo, etc.","Atractivo, alto, amable, caballeroso, humilde, persistente, con aspiraciones, inteligente, con talentos, con valores, hijo de familia no disfuncional, maduro emocionalmente",Muy atenta con la persona y detallista,2,4,3,2,2
29/10/2021 13:10:19,20,Hombre,Soltero (a),Veracruz,"No se puede hablar de amor sin involucrar los sentimientos; Es entregarnos por completos física, mental y sentimentalmente hacia un objeto o ser vivo. Y aunque lo que amemos ya no esté seguiremos siendo fieles en lo más profundo de nuestro corazón.",La ideología y la forma de educación de cada persona es distinta; lo que más más se imparte es la fidelidad.,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Fidelidad,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,Intimidad (unión) y compromiso,"Amor romántico, Amor compañero o sociable, Amor maternal, Amor propio, Amor platónico, Fiial","Si no amaramos, no tendríamos una razón o identidad a la cual pertenecer y luchar por ello","Respeto
Compromiso por lograr un objetivo y adaptarse en cuanto a la situación y no dejar a la otra persona atrás
Fidelidad","Fiel a sus creencias y respeto hacia las mías,
Igualmente en la toma de decisiones, y si cometiera un error que me lo hiciera saber.
Y que tenga amor propio","Dedicado, respetuoso y fiel a la toma de mis decisiones y ser un apoyo y ayuda para las decisiones o metas de la otra persona",4,4,3,3,4
29/10/2021 13:14:05,15,Mujer,En una relación,Veracruz,Un sentimiento,Afecto cariñoso,"Nos permite el acercamiento y vínculo entre personas, objetos, y sucesos",El amor propio es el cariño y aceptación que tengo hacia mi mismo,Ser cariñoso,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Comodidad, conexión, afecto , compromiso","Amor romántico, Eros o amor erótico, Amor compañero o sociable, Storge o amistoso, Amor maternal, Manic o maníaco, Amor propio, Amor platónico",Tenemos sentimientos y emociones,"Confianza, respeto y comunicación",Cariñoso y respetuoso,Cariñosa ,3,2,1,5,5
29/10/2021 13:34:46,40,Hombre,En una relación,Xalapa Veracruz México ,Un sentimiento que lo traemos por naturaleza y nuestros padres nos lo hacen que lo saquemos desde pequeños ,En un sentimiento muy bonito ,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,Que sea siempre sincero ,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,"Atracción, pasión y deseo","Amor romántico, Amor fraternal, Storge o amistoso, Amor propio, Amor platónico",Es nuestra naturaleza ,Mutuo,Diferente a mi en este aspecto para compartir muchas opiniones y así hacerlo más interesante ,Muy cariñoso y complaciente ,3,5,4,3,3
29/10/2021 13:36:34,38,Mujer,En una relación,veracruz,Un sentimiento,ternura,Nos da un sentido a nuestras vidas,El amor propio es el cariño y aceptación que tengo hacia mi mismo,felicidad,Sobrepasa cualquier explicación racional y física y nos hace tener una conexión con lo divino y espiritual de cada uno,es la conexion y aceptacion de dos almas que va mas alla dela intimidad,Amor maternal,Podemos expresar nuestras emociones,Mutuo,Que tengo amor propio,Romantica,5,5,3,5,2
